title;url;source_kind;accessed;rated_mAh;model;status;publication_date;date;DCIR_mOhm;dc1_mOhm;dc2_mOhm;estimated_CDR_A;rated_TL_A;note;sample1_mAh;sample2_mAh
Bench Test Results: Ampace JP50P1 (no CCC logo) - 40A/60A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-ampace-jp50p1-no-ccc-logo-40a-60a-5000mah-21700.993063/;Форум;2026-09-21;5000;Ampace JP50P1;Текст статьи прочитан;2026-01-26T22:46:20+0000;2026-01-26;5.65;5.6;5.7;40;60;pre-production;;
Bench Test Results: Amprius INR21700/50Q (no CCC) - 50A 5000mAh 21700 - Is it 5000Q?;https://www.e-cigarette-forum.com/threads/bench-test-results-amprius-inr21700-50q-no-ccc-50a-5000mah-21700-is-it-5000q.993503/;Форум;2026-09-21;5000;Amprius INR21700-50Q;Текст статьи прочитан;2026-03-12T14:55:00+0000;2026-03-12;6.78;6.92;6.64;40;100;pre-production;;
Bench Test Results: Amprius INR21700/65 (SA112) - no CCC logo - 13A 6500mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-amprius-inr21700-65-sa112-no-ccc-logo-13a-6500mah-21700.993201/;Форум;2026-09-21;6500;Amprius INR21700-65;Текст статьи прочитан;2026-02-09T19:17:54+0000;2026-02-09;;;;;;pre-production;;
Bench Test Results: AWT 35A 4800mAh 21700...obscenely overrated, DO NOT BUY;https://www.e-cigarette-forum.com/threads/bench-test-results-awt-35a-4800mah-21700-obscenely-overrated-do-not-buy.888415/;Форум;2026-09-21;4800;AWT 21700 35A 4800mAh;Текст статьи прочитан;2018-11-28T05:20:11+0000;2018-11-28;;;;;;"do not buy; overrated; pre-production";;
Bench Test Results: BAK 53E - 10.6A 5300mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-53e-10-6a-5300mah-21700.987731/;Форум;2026-09-21;5300;BAK 53E;Текст статьи прочитан;2024-11-12T05:40:19+0000;2024-11-12;19.4;19.3;19.5;;;;;
Bench Test Results: BAK 65E - 25.4A 6500mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-65e-25-4a-6500mah-21700.993668/;Форум;2026-09-21;6500;BAK 65E;Текст статьи прочитан;2026-03-29T16:07:05+0100;2026-03-29;10.72;10.76;10.68;;;pre-production;;
Bench Test Results: BAK N21700CG-50 – 15A 5000mAh 21700…decent performer, equal to Samsung 50E3;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-n21700cg-50-%E2%80%93-15a-5000mah-21700%E2%80%A6decent-performer-equal-to-samsung-50e3.968623/;Форум;2026-09-21;5000;BAK N21700CG;Текст статьи прочитан;2021-09-29T08:59:19+0100;2021-09-29;;;;;;;;
Bench Test Results: Efest 10A 5000mAh 21700...only 7.3A 4900mAh but good performer, probably LG M50;https://www.e-cigarette-forum.com/threads/bench-test-results-efest-10a-5000mah-21700-only-7-3a-4900mah-but-good-performer-probably-lg-m50.872411/;Форум;2026-09-21;5000;Efest 21700 5000mAh 10A;Текст статьи прочитан;2018-07-22T08:56:31+0100;2018-07-22;;;;;;overrated;;
Bench Test Results: Epoch 10A 5000mAh 21700...great performer, slightly overrated capacity;https://www.e-cigarette-forum.com/threads/bench-test-results-epoch-10a-5000mah-21700-great-performer-slightly-overrated-capacity.947935/;Форум;2026-09-21;5000;Epoch 21700 5000mAh;Текст статьи прочитан;2020-08-10T07:54:48+0100;2020-08-10;;;;;;"overrated; great performer";;
Bench Test Results: “EVE 50PL” (unconfirmed) - 50A/125A 5000mAh 21700;https://www.e-cigarette-forum.com/threads/bench-test-results-%E2%80%9Ceve-50pl%E2%80%9D-unconfirmed-50a-125a-5000mah-21700.990079/;Форум;2026-09-21;5000;EVE INR21700-50PL;Текст статьи прочитан;2025-05-11T19:48:40+0100;2025-05-11;;;;;;"pre-production; unconfirmed";;
